Step,Body,PosX,PosY,VelX,VelY
72000,4,18.942,3.25703,-1.15236,6.70193
73000,0,0,0,0,0
73000,1,0.28733,-0.657404,32.2617,13.9357
73000,2,-0.399433,0.916744,-27.2972,-11.9049
73000,3,1.75922,4.89713,-12.2877,4.42755
73000,4,18.9342,3.30182,-1.1682,6.69919
74000,0,0,0,0,0
74000,1,0.483888,-0.530979,26.0267,23.5459
74000,2,-0.572804,0.819576,-24.4038,-17.0719
74000,3,1.67684,4.92604,-12.3601,4.22077
74000,4,18.9264,3.34659,-1.18403,6.69642
75000,0,0,0,0,0
75000,1,0.629171,-0.348265,17.059,30.6312
75000,2,-0.723533,0.690013,-20.5447,-21.5653
75000,3,1.59398,4.95356,-12.4289,4.01282
75000,4,18.9184,3.39134,-1.19986,6.6936
76000,0,0,0,0,0
76000,1,0.707974,-0.12874,6.31269,34.4657
76000,2,-0.845651,0.533169,-15.8721,-25.2073
76000,3,1.51068,4.97968,-12.4943,3.80374
76000,4,18.9103,3.43608,-1.21568,6.69075
77000,0,0,0,0,0
77000,1,0.712106,0.104371,-5.08619,34.6617
77000,2,-0.934322,0.355239,-10.5699,-27.8534
77000,3,1.42696,5.00441,-12.5561,3.59361
77000,4,18.9022,3.48079,-1.23149,6.68787
78000,0,0,0,0,0
78000,1,0.641172,0.32648,-15.9506,31.2027
78000,2,-0.986023,0.163254,-4.84745,-29.3982
78000,3,1.34283,5.02772,-12.6144,3.38247
78000,4,18.8939,3.52549,-1.2473,6.68494
79000,0,0,0,0,0
79000,1,0.502593,0.514139,-25.1468,24.4432
79000,2,-0.998694,-0.0351907,1.06915,-29.7798
79000,3,1.25832,5.04962,-12.6691,3.17039
79000,4,18.8855,3.57016,-1.2631,6.68198
80000,0,0,0,0,0
80000,1,0.310882,0.647431,-31.705,15.0771
80000,2,-0.971818,-0.23224,6.94573,-28.9821
80000,3,1.17346,5.07011,-12.7203,2.95744
80000,4,18.877,3.61482,-1.27889,6.67898
81000,0,0,0,0,0
81000,1,0.0862095,0.712045,-34.9174,4.07489
81000,2,-0.906445,-0.420089,12.5493,-27.0357
81000,3,1.08827,5.08916,-12.7679,2.74366
81000,4,18.8684,3.65945,-1.29468,6.67594
82000,0,0,0,0,0
82000,1,-0.147626,0.700833,-34.4168,-7.40764
82000,2,-0.805152,-0.591288,17.6575,-24.0171
82000,3,1.00278,5.10678,-12.8119,2.52912
82000,4,18.8597,3.70407,-1.31045,6.67287
83000,0,0,0,0,0
83000,1,-0.365655,0.614678,-30.2258,-18.1448
83000,2,-0.67194,-0.739047,22.0673,-20.0454
83000,3,0.917,5.12297,-12.8523,2.31388
83000,4,18.8509,3.74866,-1.32622,6.66975
84000,0,0,0,0,0
84000,1,-0.544405,0.462527,-22.767,-26.9714
84000,2,-0.512084,-0.857498,25.603,-15.2776
84000,3,0.830964,5.13772,-12.8891,2.098
84000,4,18.8419,3.79324,-1.34199,6.66661
85000,0,0,0,0,0
85000,1,-0.66448,0.260545,-12.8284,-32.9148
85000,2,-0.331918,-0.941938,28.124,-9.9028
85000,3,0.744694,5.15102,-12.9222,1.88154
85000,4,18.8329,3.83779,-1.35774,6.66342
